音乐典藏,#genre#

李慧珍‖爱死了昨天,https://vd3.bdstatic.com/mda-je5ecc5w58bm1k1u/hd/mda-je5ecc5w58bm1k1u.mp4
曲中人_安儿陈,https://vd3.bdstatic.com/mda-nhikj74nq8179f3x/hd/cae_h264/1660950454644112998/mda-nhikj74nq8179f3x.mp4
烟入魂酒入肺_安儿陈,https://vd3.bdstatic.com/mda-pfbe16dem7g2hj7c/hd/cae_h264/1686566869467307343/mda-pfbe16dem7g2hj7c.mp4
其实我很累_安儿陈,https://vd3.bdstatic.com/mda-mh3jt8rb1tude795/hd/cae_h264/1628086316209998575/mda-mh3jt8rb1tude795.mp4
言而无信_安儿陈,https://vd3.bdstatic.com/mda-ngif64xvh7n95m49/hd/cae_h264/1658228044692099138/mda-ngif64xvh7n95m49.mp4
暂别离_阿国哥,https://vd2.bdstatic.com/mda-na0gq1qdvtc7dn21/576p/cae_h264/1655579895314488960/mda-na0gq1qdvtc7dn21.mp4
那年你十八_阿翁,https://vd4.bdstatic.com/mda-pfmz5zb678d08v3d/576p/h264/1687476367887560444/mda-pfmz5zb678d08v3d.mp4
火火的姑娘_东方红艳/赵真,https://vd2.bdstatic.com/mda-pcchu2v29aduq1gs/576p/h264/1678711050498124613/mda-pcchu2v29aduq1gs.mp4
错位时空_艾辰,https://vd3.bdstatic.com/mda-ph2cb49vwueyw428/576p/h264/1691052233071630270/mda-ph2cb49vwueyw428.mp4
天涯_爱乐团,https://vd2.bdstatic.com/mda-phu79kh5bu1gyujc/360p/h264/1693285718180929968/mda-phu79kh5bu1gyujc.mp4
分手的理由_安东阳,https://vd3.bdstatic.com/mda-jgpcqz3dycmgv6hu/hd/mda-jgpcqz3dycmgv6hu.mp4
王蓉&杨魏玲花‖沙漠骆驼,https://vd3.bdstatic.com/mda-imih9mj3n60m1gn4/hd/mda-imih9mj3n60m1gn4.mp4
黄霄云‖左手指月,https://vdse.bdstatic.com//2e999218ddc26a17b96073798b1d02bd.mp4
陈乐一‖青鸟,https://vdse.bdstatic.com/5de314f13cdd0949716869b7d7778261.mp4
周深‖达拉崩吧,https://vd2.bdstatic.com/mda-pfr3pi96izhc41kk/576p/h264/1687747145114459095/mda-pfr3pi96izhc41kk.mp4
群星‖百战成诗,https://vdse.bdstatic.com//4a9611c3cee44f164e1903c3fb7ae357.mp4
黄渤‖正义之道,https://vd3.bdstatic.com/mda-khcqcyjxtvifs0sz/mda-khcqcyjxtvifs0sz.mp4
曹越‖金莲的爱,https://vd3.bdstatic.com/mda-kgnvnfsyj8uc7itg/mda-kgnvnfsyj8uc7itg.mp4
大喇叭组合‖马云的女人,https://vdse.bdstatic.com/82ec1add2a4a0495c5d4fb0fdf7f37f8.mp4
越南洗剪吹组合HKT翻唱‖错错错,https://vdse.bdstatic.com//696e7482b2026ddbb4136ed9fdc1dec1.mp4
阿悠悠‖念旧,https://vd2.bdstatic.com/mda-ncf7yjyjmfdv6y59/hd/cae_h264_delogo/1647410571780626981/mda-ncf7yjyjmfdv6y59.mp4
阿悠悠‖责无旁贷,https://vd3.bdstatic.com/mda-jjwiaj7pbp7fkt79/mda-jjwiaj7pbp7fkt79.mp4
阿悠悠‖你若三冬,https://vdse.bdstatic.com/27fcd4e8e0bc4d0c51740a7a0b084599.mp4
阿悠悠‖一曲相思,https://vd3.bdstatic.com/mda-jjw3xdjs8ksy6wfa/mda-jjw3xdjs8ksy6wfa.mp4
阿悠悠‖一生与你擦肩而过,https://vd2.bdstatic.com/mda-pidk44yguavrzp3r/576p/h264/1694700804748379831/mda-pidk44yguavrzp3r.mp4
阿悠悠‖赢在江湖,https://vdse.bdstatic.com//270b269107092c71e1b0fb6fc60eb3a5.mp4
阿悠悠‖醉仙美,https://vd2.bdstatic.com/mda-pfbdktuwsz3nqbe1/576p/h264/1686562748287340810/mda-pfbdktuwsz3nqbe1.mp4
阿悠悠‖默契告白,https://vdse.bdstatic.com//e6871fe297578d06536f0c3905b2aede.mp4
阿悠悠‖旧梦一场,https://vd4.bdstatic.com/mda-mia3h8b5qqxviptu/hd/cae_h264/1631328723346605164/mda-mia3h8b5qqxviptu.mp4
黄静美‖多年以后,https://vd3.bdstatic.com/mda-mcni255z3s4v02gs/hd/cae_h264/1616504865/mda-mcni255z3s4v02gs.mp4
王赫野‖大风吹,https://vd3.bdstatic.com/mda-mm8d2a4x6w9aihm6/hd/cae_h264/1679609458352639829/mda-mm8d2a4x6w9aihm6.mp4
李乐乐‖失去爱的城市,https://vd3.bdstatic.com/mda-kd8wd3bj94kf68tn/v1-cae/hd/mda-kd8wd3bj94kf68tn.mp4
一开始说陪你到老的人现在她还在吗,https://vd3.bdstatic.com/mda-me78fmzpg2czrcbq/480p/h264/1620453532971928063/mda-me78fmzpg2czrcbq.mp4
马建涛‖你是我唯一的执着,https://vd3.bdstatic.com/mda-me63p6d9kbbecg8q/480p/h264/1620355082237494306/mda-me63p6d9kbbecg8q.mp4
玮一‖断情散,https://vd3.bdstatic.com/mda-mfgc4tpeuz55zf25/480p/h264/1623918987228138459/mda-mfgc4tpeuz55zf25.mp4
段兴华‖我害怕鬼,https://vd3.bdstatic.com/mda-mdqvsqvpvdpqvxgu/480p/h264/1619384916/mda-mdqvsqvpvdpqvxgu.mp4
子尧‖醒来折花,https://vd3.bdstatic.com/mda-khpsa0ytvk9isqnx/mda-khpsa0ytvk9isqnx.mp4
丸子呦‖广寒宫,https://vd3.bdstatic.com/mda-jir00i7jy6jmk8fg/mda-jir00i7jy6jmk8fg.mp4
唐宁‖无字书,https://vdse.bdstatic.com//b8a0969b6e9db96af79836e7a6ca5a8b.mp4
魏佳艺‖孟婆的碗,https://vd3.bdstatic.com/mda-jmgwb3miypi2gvse/hd/mda-jmgwb3miypi2gvse.mp4
董真＆妖扬‖从前,https://vd3.bdstatic.com/mda-kejm62fkzuvdevuc/hd/mda-kejm62fkzuvdevuc.mp4
李袁杰‖大天蓬,https://vd3.bdstatic.com/mda-kdekzxg1stjwd8jp/hd/mda-kdekzxg1stjwd8jp.mp4
苏谭谭‖这扯谈的人生,https://vdse.bdstatic.com/1c40684652526c0fd7a541951901acbc.mp4
CRITTY‖不谓侠,https://vd3.bdstatic.com/mda-kdrnvrdtsjp1u91w/hd/mda-kdrnvrdtsjp1u91w.mp4
李玉刚‖清明上河图,https://vdse.bdstatic.com/f0813453456c11d4f50b426b4e646074.mp4
要不要买菜‖下山,https://vd3.bdstatic.com/mda-kj5xtj9kb4uepz2i/hd/mda-kj5xtj9kb4uepz2i.mp4
要不要买菜‖火红的萨日朗,https://vd3.bdstatic.com/mda-jmj6x0mxs5ktfzsi/hd/mda-jmj6x0mxs5ktfzsi.mp4
云菲菲‖邂逅,https://vd3.bdstatic.com/mda-jk3y99sv3jvu47vz/mda-jk3y99sv3jvu47vz.mp4
彭清‖伤不起的爱情伤不起的你,https://vdse.bdstatic.com/56717837056450573309b8573d5d1ef3.mp4
凤凰传奇‖成吉思汗,https://vdse.bdstatic.com//d0c2b4c8a33b1241ff83192d324f973a.mp4
凤凰传奇‖海底,https://vdse.bdstatic.com//45d3da9599a04816310753061aa0c8f3.mp4
凤凰传奇‖最炫民族风,https://vd3.bdstatic.com/mda-jmvu7zzf10382swj/mda-jmvu7zzf10382swj.mp4
杨顺高&凯小晴‖不爱我就别伤害我,https://vd3.bdstatic.com/mda-jjqnt8cf36a9qefn/mda-jjqnt8cf36a9qefn.mp4
孙艺琪‖情火,https://vd3.bdstatic.com/mda-jibafvb5jv15b4ng/mda-jibafvb5jv15b4ng.mp4
陈娟儿‖你寂寞才找我,https://vdse.bdstatic.com/5cf23f971e3ca8265e071aea2ee02017.mp4
五音Jw‖明月天涯,https://vdse.bdstatic.com/fa7219e16b1de620b1af985a9410f2f5.mp4
西单女孩‖原点,https://vdse.bdstatic.com/1e72bcb7415b15bca8fed51fb26ad8ff.mp4
龙梅子&老猫‖都说,https://vdse.bdstatic.com/8fa1c3b5c5d7412542fc1a6028f905db.mp4
宝石老舅‖野狼disco,https://vd4.bdstatic.com/mda-kipfer35rx90ge1w/v1-cae/hd/mda-kipfer35rx90ge1w.mp4
王七七‖我愿意平凡的陪在你身旁,https://vd3.bdstatic.com/mda-jjwf3yhm79yn8gab/mda-jjwf3yhm79yn8gab.mp4
展展与罗罗‖沙漠骆驼,https://vd3.bdstatic.com/mda-jjr5bskush3bv7xk/hd/mda-jjr5bskush3bv7xk.mp4
花姐‖狂浪,https://vdse.bdstatic.com/3f25407555a811af4736ae4d658cb4b7.mp4
彭清‖得不到,https://vdse.bdstatic.com//eb2c51a7f322dea6909bcc825d5d1dfd.mp4
彭清‖我们结婚吧,https://vdse.bdstatic.com//855ea3487f3d5b106f0338bfc1183722.mp4
蒙面哥&彭清‖我已经爱上你,https://vdse.bdstatic.com/86e85a4f9483f86238df8a3d573b5328.mp4
蒙面哥&彭清‖一亿个伤心,https://vdse.bdstatic.com/6788652bfa4f07f22fc00a4d3e2c7807.mp4
杨小壮‖一个人挺好,https://vd2.bdstatic.com/mda-mdhhygbbq006gj44/480p/h264_cae/1620573768062488986/mda-mdhhygbbq006gj44.mp4
群星‖少林英雄,https://vdse.bdstatic.com/0c854516ae15f083e4b92f893b42bebb.mp4
秦博‖好嗨呦,https://vdse.bdstatic.com/e2961d6f49f233b557b8d3082560b251.mp4
丫蛋蛋‖大田后生仔,https://vd4.bdstatic.com/mda-ma3ihezbp6burndr/v1-cae/hd/mda-ma3ihezbp6burndr.mp4
魏新雨‖恋人心,https://vdse.bdstatic.com//10401e901f5c72320a8e67fe4dfff297.mp4
刘珂矣‖半壶纱,https://vdse.bdstatic.com/ff0869c885238326f53df2998d75950a.mp4
刘珂矣‖风筝误,https://vdse.bdstatic.com//f467f783f61b1da3d20cc5db3c586354.mp4
张学友‖烦恼歌,https://vdse.bdstatic.com//433f304ffde7b5ad45847cee011c5f4f.mp4
苏谭谭‖渡我不渡她,http://video01.youju.sohu.com/ca4e5150-3c22-4cd1-a335-f9b9390655492_0_0.mp4
原唱‖江海不度你,https://vdse.bdstatic.com//e2ea8a2d07b4e65d61de41ab91def17e.mp4
M哥‖江海不度你,https://vd3.bdstatic.com/mda-jccixa4qxs8p5za2/mda-jccixa4qxs8p5za2.mp4
小潘潘&小峰峰‖学猫叫,https://vdse.bdstatic.com//0ab4d94ab532cfb704efa1db1de03e46.mp4
王力宏&谭维维‖缘分一道桥,https://vdse.bdstatic.com//352ad95b6191f9ef40cd8028cc3422ea.mp4
音阙诗听、赵方婧‖芒种,https://vdse.bdstatic.com/66fdebb2d9f564773c370ae69e20c2c5.mp4
三个人唱的‖你笑起来真好看,https://vd4.bdstatic.com/mda-kdn05sar0nxkfj2i/v1-cae/hd/mda-kdn05sar0nxkfj2i.mp4
大欢‖多年以后,https://vd4.bdstatic.com/mda-mff4dnny1rhna81f/hd/cae_h264/1623813848277849779/mda-mff4dnny1rhna81f.mp4
海来阿木‖别知己,https://vdse.bdstatic.com/b7807a03e313eb6a4c0d70c354e41bf3.mp4
海来阿木‖你的万水千山,https://vdse.bdstatic.com/6562d4fdd3276003e9880741d188f5e2.mp4
海来阿木‖点歌的人,https://vd3.bdstatic.com/mda-ki67e8vucde8a5ff/mda-ki67e8vucde8a5ff.mp4
